frame,id,x,y,state
19,17,0,1,0
19,18,0,-1,0
19,21,0,1,0
19,26,0,1,0
19,28,0,1,0
19,30,0,2,0
20,1,0,0,0
20,2,0,0,0
20,3,0,0,0
20,4,0,2,0
20,6,0,2,0
20,7,0,1,0
20,9,0,1,0
20,17,0,1,0
20,18,0,1,0
20,21,0,1,0
20,26,0,-1,0
20,28,0,1,0
20,30,0,1,0
20,31,0,2,0
21,1,0,0,0
21,2,0,1,0
21,3,0,0,0
21,4,0,2,0
21,6,0,1,0
21,7,0,1,0
21,9,0,1,0
21,17,0,1,0
21,18,0,1,0
21,21,0,1,0
21,28,0,1,0
21,30,0,2,0
21,32,0,0,0
22,1,0,0,0
22,2,0,0,0
22,3,0,0,0
22,4,0,2,0
22,6,0,1,0
22,7,0,2,0
22,9,0,1,0
22,17,0,1,0
22,18,0,1,0
22,21,0,1,0
22,28,0,1,0
22,30,0,1,0
22,32,0,0,0
22,33,0,2,0
22,34,0,1,0
23,1,0,0,0
23,2,0,0,0
23,3,0,0,0
23,4,0,2,0
23,6,0,1,0
23,7,0,2,0
23,9,0,1,0
23,17,0,1,0
23,18,0,1,0
23,21,0,1,0
23,28,0,1,0
23,30,0,1,0
23,32,0,0,0
23,33,0,2,0
23,34,0,1,0
24,1,0,0,0
24,2,0,0,0
24,3,0,0,0
24,4,0,2,0
24,6,0,1,0
24,9,0,1,0
24,17,0,1,0
24,18,0,2,0
24,21,0,2,0
24,28,0,1,0
24,30,0,1,0
24,32,0,0,0
24,33,0,1,0
24,34,0,1,0
25,1,0,0,0
25,2,0,0,0
25,3,0,0,0
25,4,0,2,0
25,6,0,1,0
25,9,0,1,0
25,17,0,1,0
25,18,0,2,0
25,21,0,2,0
25,28,0,1,0
25,32,0,0,0
25,33,0,2,0
25,34,0,1,0
25,35,0,1,0
26,1,0,0,0
26,2,0,0,0
26,3,0,0,0
26,4,0,2,0
26,6,0,1,0
26,9,0,1,0
26,17,0,1,0
26,18,0,1,0
26,21,0,1,0
26,28,0,1,0
26,33,0,2,0
26,34,0,1,0
26,35,0,1,0
27,1,0,0,0
27,2,0,0,0
27,3,0,0,0
27,4,0,3,0
27,6,0,1,0
27,9,0,1,0
27,17,0,1,0
27,18,0,2,0
27,21,0,1,0
27,28,0,1,0
27,33,0,1,0
27,34,0,1,0
27,35,0,1,0
27,36,0,0,0
27,37,0,2,0
28,1,0,0,0
28,2,0,0,0
28,3,0,0,0
28,4,0,2,0
28,6,0,1,0
28,9,0,1,0
28,17,0,1,0
28,21,0,1,0
28,28,0,1,0
28,33,0,1,0
28,34,0,2,0
28,35,0,1,0
28,38,0,0,0
29,1,0,0,0
29,2,0,0,0
29,3,0,0,0
29,4,0,2,0
29,6,0,1,0
29,9,0,1,0
29,17,0,1,0
29,21,0,1,0
29,28,0,1,0
29,33,0,1,0
29,34,0,2,0
29,35,0,1,0
29,38,0,0,0
29,39,0,1,0
29,40,0,2,0
30,1,0,0,0
30,2,0,0,0
30,3,0,0,0
30,4,0,2,0
30,6,0,1,0
30,9,0,1,0
30,17,0,1,0
30,21,0,1,0
30,28,0,1,0
30,33,0,2,0
30,34,0,1,0
30,35,0,1,0
30,39,0,1,0
30,40,0,1,0
31,1,0,0,0
31,2,0,0,0
31,3,0,0,0
31,4,0,3,0
31,6,0,2,0
31,9,0,1,0
31,17,0,1,0
31,21,0,1,0
31,28,0,1,0
31,33,0,2,0
31,34,0,1,0
31,35,0,1,0
31,39,0,1,0
31,40,0,1,0
31,41,0,0,0
32,1,0,0,0
32,2,0,0,0
32,3,0,0,0
32,4,0,3,0
32,6,0,2,0
32,9,0,1,0
32,17,0,1,0
32,21,0,1,0
32,28,0,1,0
32,33,0,2,0
32,34,0,1,0
32,35,0,1,0
32,39,0,1,0
32,40,0,1,0
32,41,0,0,0
33,1,0,0,0
33,2,0,0,0
33,3,0,0,0
33,4,0,3,0
33,6,0,1,0
33,9,0,1,0
33,17,0,1,0
33,21,0,1,0
33,28,0,1,0
33,33,0,2,0
33,34,0,1,0
33,35,0,1,0
33,39,0,1,0
33,40,0,2,0
33,41,0,0,0
34,1,0,0,0
34,2,0,0,0
34,3,0,0,0
34,4,0,2,0
34,6,0,1,0
34,9,0,1,0
34,17,0,1,0
34,21,0,1,0
34,28,0,1,0
34,33,0,2,0
34,34,0,1,0
34,35,0,1,0
34,39,0,2,0
34,40,0,2,0
35,1,0,0,0
35,2,0,0,0
35,3,0,0,0
35,4,0,2,0
35,6,0,2,0
35,9,0,1,0
35,17,0,1,0
35,21,0,2,0
35,28,0,1,0
35,33,0,2,0
35,34,0,1,0
35,35,0,1,0
35,39,0,2,0
35,40,0,2,0
35,42,0,0,0
36,1,0,0,0
36,2,0,0,0
36,3,0,0,0
36,4,0,1,0
36,6,0,1,0
36,9,0,1,0
36,17,0,1,0
36,21,0,2,0
36,28,0,1,0
36,33,0,1,0
36,34,0,1,0
36,35,0,2,0
36,39,0,2,0
36,40,0,1,0
36,42,0,0,0
37,1,0,0,0
37,2,0,0,0
37,3,0,0,0
37,4,0,3,0
37,6,0,2,0
37,9,0,1,0
37,17,0,1,0
37,21,0,1,0
37,28,0,1,0
37,33,0,1,0
37,34,0,1,0
37,39,0,2,0
37,40,0,1,0
37,42,0,0,0
37,43,0,1,0
38,1,0,0,0
38,2,0,0,0
38,3,0,0,0
38,4,0,2,0
38,6,0,1,0
38,9,0,1,0
38,17,0,1,0
38,21,0,2,0
38,28,0,1,0
38,33,0,2,0
38,34,0,1,0
38,39,0,1,0
38,40,0,1,0
38,44,0,0,0
39,1,0,0,0
39,2,0,0,0
39,3,0,0,0
39,4,0,2,0
39,6,0,1,0
39,9,0,1,0
39,17,0,1,0
39,28,0,1,0
39,33,0,2,0
39,34,0,1,0
39,40,0,1,0
39,44,0,1,0
39,45,0,0,0
39,46,1,2,0
40,1,0,-1,0
40,2,0,0,0
40,3,0,0,0
40,4,0,3,0
40,6,0,1,0
40,9,0,1,0
40,17,0,1,0
40,28,0,1,0
40,33,0,2,0
40,34,0,1,0
40,40,0,1,0
40,44,0,1,0
40,46,1,2,0
40,47,0,2,0
41,1,0,-1,0
41,2,0,0,0
41,3,0,0,0
41,4,0,3,0
41,6,0,1,0
41,9,0,1,0
41,17,0,1,0
41,28,0,1,0
41,33,0,2,0
41,34,0,1,0
41,40,0,2,0
41,44,0,1,0
41,46,1,2,0
41,47,0,1,0
41,48,0,0,0
42,1,0,-1,0
42,2,0,0,0
42,3,0,0,0
42,4,0,2,0
42,6,0,1,0
42,9,0,1,0
42,17,0,1,0
42,28,0,1,0
42,33,0,2,0
42,34,0,1,0
42,44,0,1,0
42,46,1,2,0
42,47,0,2,0
42,48,0,0,0
43,1,0,-2,0
43,2,0,0,0
43,3,0,0,0
43,4,0,3,0
43,6,0,1,0
43,9,0,1,0
43,17,0,1,0
43,28,0,1,0
43,33,0,2,0
43,34,0,0,0
43,44,0,1,0
43,46,1,2,0
43,47,0,2,0
43,48,0,0,0
43,49,0,1,0
44,1,0,-2,0
44,2,0,0,0
44,3,0,0,0
44,4,0,3,0
44,6,0,1,0
44,9,0,1,0
44,17,0,1,0
44,28,0,1,0
44,33,0,2,0
44,34,0,0,0
44,44,0,0,0
44,46,1,2,0
44,47,0,2,0
44,48,0,0,0
44,49,0,1,0
45,1,0,-3,0
45,2,0,0,0
45,3,0,0,0
45,4,0,1,0
45,6,0,2,0
45,9,0,1,0
45,17,0,1,0
45,28,0,1,0
45,33,0,2,0
45,34,0,0,0
45,44,0,0,0
45,47,0,1,0
45,49,0,1,0
46,1,0,-3,0
46,2,0,0,0
46,3,0,0,0
46,4,0,2,0
46,6,0,1,0
46,9,0,1,0
46,17,0,1,0
46,28,0,1,0
46,33,0,2,0
46,34,0,0,0
46,44,0,1,0
46,47,0,1,0
46,49,0,1,0
46,50,0,0,0
47,1,0,-3,0
47,2,0,0,0
47,3,0,0,0
47,4,0,1,0
47,6,0,3,0
47,9,0,1,0
47,17,0,1,0
47,28,0,1,0
47,33,0,2,0
47,34,0,0,0
47,44,0,1,0
47,47,0,1,0
47,49,0,1,0
47,50,0,0,0
48,1,0,-3,0
48,2,0,0,0
48,3,0,0,0
48,4,0,1,0
48,6,0,1,0
48,9,0,1,0
48,17,0,1,0
48,28,0,1,0
48,33,0,2,0
48,34,0,0,0
48,44,0,1,0
48,47,0,1,0
48,49,0,1,0
49,1,0,-4,0
49,2,0,0,0
49,3,0,0,0
49,4,0,1,0
49,6,0,1,0
49,9,0,1,0
49,17,0,1,0
49,28,0,2,0
49,33,0,2,0
49,34,0,0,0
49,44,0,1,0
49,49,0,1,0
49,51,0,0,0
